# This file contains all the info about the car colours. There are two
# sections, col which contains the colour table and car which contains 
# the possible indices into the colour table for each car.
#
#
# Press START on controller to reload this file while the game is running.
#
#
#
#
#
#	now in colour order
#	
#
#
# flip colours to be only used on speciel cars...

# the fields after RGB in the colour table are for the police scanner audio - prefix,colour
# prefix can be one of -, bright, light, dark.  Please use '-' (without the quotes) for a colour that is neither light nor dark
# colour can be one of:
# Black, blue, brown, beige, graphite, green, grey, orange, pink, red, silver, white, yellow, GrottiRed, DewbaucheGreen

col
#NEW COLOURS's

245,180,0,-,yellow			# 134 SuperD yellow
5,5,5,-,black				# 135 black
189,149,75,-,gold			# 136 Gold				

end



car3
apc,		1,1,1,
avan,		95,95,95,
akuma,		51,56,127, 0,0,29, 0,0,101, 0,1,4, 34,34,31, 85,85,84, 89,0,90, 59,1,59, 82,85,85, 0,7,1, 4,1,1, 29,1,1, 0,4,4,
bati2,		133,133,112,
buffalo,	0,0,3, 0,0,103, 3,3,103, 1,1,79, 3,3,73, 4,4,82, 6,6,84, 11,11,86, 16,16,92, 23,23,25, 34,34,28, 36,36,27, 47,47,91, 52,52,53, 53,53,51, 64,64,65, 69,69,63, 70,70,64, 73,73,58, 76,76,58, 2,2,63, 21,21,72, 22,22,72, 13,11,91, 19,19,93,
bullet,		34,1,28, 0,0,2, 76,0,75, 132,0,133, 120,120,133, 20,20,4, 0,0,84, 74,74,128,
buzzard,	0,0,0,
caddy,		112,112,112,
cavalcade2,	34,127,28, 0,133,0, 0,133,4, 1,133,9, 6,133,63, 40,133,27, 57,133,51, 64,133,63, 85,133,118, 88,133,87, 98,133,91, 104,133, 103,2,133,63, 21,133,72, 22,133,72, 13,133,91, 19,133,93,
f620,		31,31,89, 7,7,8, 0,0,7, 24,24,4 52,52,50, 69,69,65, 74,74,72, 85,85,82, 113,113,133, 89,89,113, 83,83,113,
faggio2,	31,0,29, 62,0,59, 13,0,1, 11,11,5, 0,0,8, 7,0,8, 33,33,33, 43,43,30, 48,0,48, 54,54,57, 56,0,50, 67,67,65,
floater,	113,27,132, 0,35,35, 0,131,127, 131,0,127, 133,69,69, 113,85,69, 27,102,69, 27,132,69, 127,89,127, 46,131,127,
hexer,		4,0,96, 111,111,6, 129,129,129, 106,106,106,
hakuchou,	51,56,127, 0,0,29, 0,0,101, 0,1,4, 34,34,31, 85,85,84, 89,0,90, 59,1,59, 82,85,85, 0,7,1, 4,1,1, 29,1,1, 0,4,4,
limo2, 		0,0,8, 1,1,12, 113,113,113, 16,16,76, 9,9,91, 15,15,93, 19,19,93, 13,13,80, 0,0,1,
serrano,	0,0,56, 1,1,11, 3,3,11, 14,14,11, 19,19,14, 42,42,30, 45,45,27, 57,57,126, 54,54,50, 52,52,83, 70,70,80, 82,82,63, 85,85,63, 90,90,91, 94,94,94, 104,104,106, 16,16,76, 9,9,91, 15,15,93, 19,19,93, 13,13,80,
skylift,	74,74,74,
Slamvan 	0,0,2,35, 1,1,1,1, 11,4,10,3, 30,30,10,3
smuggler,	113,27,132, 0,35,35, 0,131,127, 131,0,127, 133,69,69, 113,85,69, 27,102,69, 27,132,69, 127,89,127, 46,131,127,
superd,		0,0,112, 3,3,3, 11,11,72, 23,23,23, 34,34,32, 40,40,42, 52,52,50, 69,69,63, 77,77,79, 86,86,86, 95,95,93, 102,102,97, 120,120,120, 122,122,120, 
superd2,	134,136,134,
schafter2, 	0,0,0, 21,1,24, 4,0,24, 24,0,24, 24,24,24, 3,3,24, 7,7,24, 0,0,29, 30,30,29, 34,34,29, 49,49,63, 52,52,63, 69,69,59, 74,74,77, 77,77,77, 85,85,83, 89,0,89, 97,97,97, 32,0,131, 
schafter3, 	0,1,1, 70,133,8, 16,133,8, 22,133,8, 26,133,18, 34,133,34, 43,133,43, 54,133,54, 57,133,57, 61,133,61, 65,133,65, 68,133,68, 77,133,77, 104,133,103, 106,133,103, 108,133,108, 15,133,93, 19,1,93, 13,133,80,
swift,		18,0,76,
tampa,		0,0,49, 38,38,85, 0,97,102, 3,0,12, 6,6,4, 11,4,12, 13,13,12, 16,95,90, 24,1,12, 21,21,12, 23,23,2, 31,31,27, 32,113,34, 34,12,34, 49,13,41, 52,0,59, 62,13,69, 76,4,76, 82,85,76, 87,8,76, 89,0,4, 92,95,90, 95,95,2, 106,103,2,
vader,		51,56,127, 0,89,8, 0,51,51, 0,1,4, 33,33,27, 85,85,84, 89,0,90, 59,59,89, 82,85,85, 0,7,1, 4,4,8, 29,1,1, 0,4,4, 25,28,8
police3,	113,74,113,
police4,	69,69,35,
policeb,	112,112,112,
policew,	13,13,13,

end

car4
Slamvan 	0,0,2,35, 1,1,1,1, 11,4,10,3, 30,30,10,3,
serrano2,	0,0,1,0, 0,0,82,133, 0,0,133,133, 38,0,34,0, 4,0,4,0, 24,24,24,0, 31,0,28,0, 34,34,27,133, 37,37,28,133, 89,0,89,0, 2,2,133,133, 6,6,133,0, 11,11,89,0, 21,21,128,133,
double,		131,0,103,131, 0,0,3,89, 0,1,3,0, 1,0,3,131, 0,35,49,35, 28,28,125,0, 5,0,4,0, 16,0,4,0, 29,0,34,10, 89,0,3,89, 125,0,3,89, 59,0,37,59, 69,0,74,0,
blade,		113,28,113,0, 113,0,113,27, 113,74,113,127, 113,89,113,127, 113,132,113,83, 0,0,113,113, 0,113,113,113, 21,113,113,119, 33,113,113,9, 62,113,113,0, 69,113,113,81, 89,113,113,27,

end 
