// VolFogDensity: overall density of the fog.					
// VolFogHeightFalloff: how much the fog accumulates at low altitudes.					
// VolFogAltitudeTweak: values lower than 1.0 increase fog density at very high altitudes to hide the horizon seam.					
// VolFogPower: values higher than 1.0 push the fog out.					
// SSIntensity: intensity of the sun shafts.					
// CHSSLightSize: contact hardening shadows diffuseness					
					
////////// EXTRASUNNY                                                                                      
//VolFogDensity         VolFogHeightFalloff  VolFogAltitudeTweak  VolFogPower  SSIntensity  CHSSLightSize  
//Midnight                                                                                                 
0.0031                  0.0117               0.5831               0.8873       0.0000       700.0000       
//5AM                                                                                                      
0.0028                  0.0117               0.5410               0.9063       0.0000       700.0000       
//6AM                                                                                                      
0.0020                  0.0117               0.4144               1.2057       0.0017       600.0000       
//7AM                                                                                                      
0.0021                  0.0117               0.4195               1.2397       0.0017       600.0000       
//9AM                                                                                                      
0.0018                  0.0055               0.4305               1.0000       0.0000       500.0000       
//Midday                                                                                                   
0.0018                  0.0076               0.4136               1.0000       0.0010       500.0000       
//6PM                                                                                                      
0.0018                  0.0055               0.4305               1.0000       0.0000       600.0000       
//7PM                                                                                                      
0.0020                  0.0094               0.4276               1.1815       0.0018       500.0000       
//8PM                                                                                                      
0.0020                  0.0073               0.4453               1.1815       0.0018       500.0000       
//9PM                                                                                                      
0.0020                  0.0073               0.4453               1.1815       0.0000       500.0000       
//10PM                                                                                                     
0.0031                  0.0117               0.5831               0.8873       0.0000       700.0000       
                                                                                                           
////////// SUNNY                                                                                           
//VolFogDensity         VolFogHeightFalloff  VolFogAltitudeTweak  VolFogPower  SSIntensity  CHSSLightSize  
//Midnight                                                                                                 
0.0018                  0.0117               0.3831               1.0000       0.0000       500.0000       
//5AM                                                                                                      
0.0018                  0.0117               0.3831               1.0000       0.0000       500.0000       
//6AM                                                                                                      
0.0020                  0.0113               0.4148               1.1907       0.0021       600.0000       
//7AM                                                                                                      
0.0020                  0.0117               0.4104               1.1815       0.0017       600.0000       
//9AM                                                                                                      
0.0021                  0.0073               0.4692               1.3178       0.0008       600.0000       
//Midday                                                                                                   
0.0021                  0.0073               0.4692               1.3178       0.0008       600.0000       
//6PM                                                                                                      
0.0020                  0.0117               0.4089               1.1720       0.0017       700.0000       
//7PM                                                                                                      
0.0020                  0.0117               0.4104               1.1815       0.0018       600.0000       
//8PM                                                                                                      
0.0020                  0.0117               0.4104               1.1815       0.0018       600.0000       
//9PM                                                                                                      
0.0018                  0.0090               0.4027               1.0000       0.0000       600.0000       
//10PM                                                                                                     
0.0018                  0.0117               0.3831               1.0000       0.0000       500.0000       
                                                                                                           
////////// SUNNY_WINDY                                                                                     
//VolFogDensity         VolFogHeightFalloff  VolFogAltitudeTweak  VolFogPower  SSIntensity  CHSSLightSize  
//Midnight                                                                                                 
0.0036                  0.0113               0.6711               0.8490       0.0000       1000.0000      
//5AM                                                                                                      
0.0036                  0.0113               0.6711               0.8490       0.0000       1000.0000      
//6AM                                                                                                      
0.0020                  0.0117               0.4147               1.2093       0.0017       800.0000       
//7AM                                                                                                      
0.0020                  0.0117               0.4104               1.1815       0.0017       800.0000       
//9AM                                                                                                      
0.0018                  0.0113               0.3859               1.0000       0.0008       800.0000       
//Midday                                                                                                   
0.0022                  0.0113               0.4474               0.9488       0.0019       800.0000       
//6PM                                                                                                      
0.0022                  0.0113               0.4474               0.9488       0.0019       800.0000       
//7PM                                                                                                      
0.0018                  0.0113               0.3859               1.0000       0.0008       800.0000       
//8PM                                                                                                      
0.0019                  0.0090               0.4033               1.0225       0.0010       1000.0000      
//9PM                                                                                                      
0.0018                  0.0090               0.4027               1.0000       0.0000       1000.0000      
//10PM                                                                                                     
0.0033                  0.0113               0.6271               0.8693       0.0000       1000.0000      
                                                                                                           
////////// CLOUDY                                                                                          
//VolFogDensity         VolFogHeightFalloff  VolFogAltitudeTweak  VolFogPower  SSIntensity  CHSSLightSize  
//Midnight                                                                                                 
0.0067                  0.0113               1.1056               0.6346       0.0000       1700.0000      
//5AM                                                                                                      
0.0067                  0.0113               1.1056               0.6346       0.0000       1700.0000      
//6AM                                                                                                      
0.0018                  0.0111               0.3871               1.0000       0.0000       1400.0000      
//7AM                                                                                                      
0.0021                  0.0127               0.4113               1.1536       0.0010       1000.0000      
//9AM                                                                                                      
0.0021                  0.0073               0.4692               1.3178       0.0008       1000.0000      
//Midday                                                                                                   
